fit_id,heldout,k,combo,variant,seed,sibling_in_train,n_train,macro_f1
302,webshop,1,2wikimultihop,raw,2,False,2055,0.2283
303,webshop,1,2wikimultihop,raw,3,False,2055,0.2268
304,webshop,1,2wikimultihop,raw,4,False,2055,0.2343
305,webshop,1,2wikimultihop,budget,0,False,1023,0.2053
306,webshop,1,2wikimultihop,budget,1,False,1023,0.2076
307,webshop,1,2wikimultihop,budget,2,False,1023,0.2142
308,webshop,1,2wikimultihop,budget,3,False,1023,0.2174
309,webshop,1,2wikimultihop,budget,4,False,1023,0.2067
310,webshop,1,frames,raw,0,False,2100,0.2733
311,webshop,1,frames,raw,1,False,2100,0.2751
312,webshop,1,frames,raw,2,False,2100,0.2686
313,webshop,1,frames,raw,3,False,2100,0.2664
314,webshop,1,frames,raw,4,False,2100,0.2612
315,webshop,1,frames,budget,0,False,1023,0.2787
316,webshop,1,frames,budget,1,False,1023,0.2441
317,webshop,1,frames,budget,2,False,1023,0.2523
318,webshop,1,frames,budget,3,False,1023,0.2744
319,webshop,1,frames,budget,4,False,1023,0.2453
320,webshop,1,deepshop,raw,0,True,1023,0.5767
321,webshop,1,deepshop,raw,1,True,1023,0.5812
322,webshop,1,deepshop,raw,2,True,1023,0.5739
323,webshop,1,deepshop,raw,3,True,1023,0.5783
324,webshop,1,deepshop,raw,4,True,1023,0.5692
325,webshop,1,deepshop,budget,0,True,1023,0.5742
326,webshop,1,deepshop,budget,1,True,1023,0.5819
327,webshop,1,deepshop,budget,2,True,1023,0.5745
328,webshop,1,deepshop,budget,3,True,1023,0.5624
329,webshop,1,deepshop,budget,4,True,1023,0.5705
330,webshop,1,webgames,raw,0,False,1276,0.1068
331,webshop,1,webgames,raw,1,False,1276,0.1033
332,webshop,1,webgames,raw,2,False,1276,0.0969
333,webshop,1,webgames,raw,3,False,1276,0.1019
334,webshop,1,webgames,raw,4,False,1276,0.101
335,webshop,1,webgames,budget,0,False,1023,0.1014
336,webshop,1,webgames,budget,1,False,1023,0.0968
337,webshop,1,webgames,budget,2,False,1023,0.0976
338,webshop,1,webgames,budget,3,False,1023,0.0991
339,webshop,1,webgames,budget,4,False,1023,0.0867
340,webshop,2,2wikimultihop+frames,raw,0,False,4155,0.2704
341,webshop,2,2wikimultihop+frames,raw,1,False,4155,0.263
342,webshop,2,2wikimultihop+frames,raw,2,False,4155,0.2677
343,webshop,2,2wikimultihop+frames,raw,3,False,4155,0.2642
344,webshop,2,2wikimultihop+frames,raw,4,False,4155,0.2674
345,webshop,2,2wikimultihop+frames,budget,0,False,1023,0.2246
346,webshop,2,2wikimultihop+frames,budget,1,False,1023,0.244
347,webshop,2,2wikimultihop+frames,budget,2,False,1023,0.2418
348,webshop,2,2wikimultihop+frames,budget,3,False,1023,0.2588
349,webshop,2,2wikimultihop+frames,budget,4,False,1023,0.2478
350,webshop,2,2wikimultihop+deepshop,raw,0,True,3078,0.5318
351,webshop,2,2wikimultihop+deepshop,raw,1,True,3078,0.5266
352,webshop,2,2wikimultihop+deepshop,raw,2,True,3078,0.534
353,webshop,2,2wikimultihop+deepshop,raw,3,True,3078,0.5284
354,webshop,2,2wikimultihop+deepshop,raw,4,True,3078,0.5311
355,webshop,2,2wikimultihop+deepshop,budget,0,True,1023,0.4425
356,webshop,2,2wikimultihop+deepshop,budget,1,True,1023,0.4243
357,webshop,2,2wikimultihop+deepshop,budget,2,True,1023,0.4528
358,webshop,2,2wikimultihop+deepshop,budget,3,True,1023,0.4388
359,webshop,2,2wikimultihop+deepshop,budget,4,True,1023,0.4254
360,webshop,2,2wikimultihop+webgames,raw,0,False,3331,0.2438
361,webshop,2,2wikimultihop+webgames,raw,1,False,3331,0.244
362,webshop,2,2wikimultihop+webgames,raw,2,False,3331,0.2458
363,webshop,2,2wikimultihop+webgames,raw,3,False,3331,0.2424
364,webshop,2,2wikimultihop+webgames,raw,4,False,3331,0.2517
365,webshop,2,2wikimultihop+webgames,budget,0,False,1023,0.203
366,webshop,2,2wikimultihop+webgames,budget,1,False,1023,0.2231
367,webshop,2,2wikimultihop+webgames,budget,2,False,1023,0.2375
368,webshop,2,2wikimultihop+webgames,budget,3,False,1023,0.2258
